scraped_waittimes,hospital_webpage,total_minutes,read_timestamp,site_labels
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T11:53:57Z,Atrium Health Anson
"
                                            Estimated Wait Time: 1 hours 21 Minutes
",Atrium,81,2020-03-12T11:53:57Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T11:53:57Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:37 Minutes
",Atrium,37,2020-03-12T11:53:57Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T11:53:57Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:22 Minutes
",Atrium,22,2020-03-12T11:53:57Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T11:53:57Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T11:53:57Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T11:53:57Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:46 Minutes
",Atrium,46,2020-03-12T11:53:57Z,Atrium Health Pineville
"
                                            Estimated Wait Time:20 Minutes
",Atrium,20,2020-03-12T11:53:57Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T11:53:57Z,Atrium Health Stanly
"
                                            Estimated Wait Time:24 Minutes
",Atrium,24,2020-03-12T11:53:57Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T11:53:57Z,Atrium Health Union
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T11:53:57Z,Atrium Health University City
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T11:53:57Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T11:53:57Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T11:53:57Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T11:53:57Z,Carolinas Medical Center
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T11:53:57Z,Levine Children's Hospital
24,Mary Washington,24,2020-03-12T11:53:57Z,Lee's Hill Emergency
15,Mary Washington,15,2020-03-12T11:53:57Z,Mary Washington Hospital
26,Mary Washington,26,2020-03-12T11:53:57Z,Stafford Hospital
"
                                            Estimated Wait Time:24 Minutes
",Atrium,24,2020-03-12T12:32:46Z,Atrium Health Anson
"
                                            Estimated Wait Time:30 Minutes
",Atrium,30,2020-03-12T12:32:46Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:15 Minutes
",Atrium,15,2020-03-12T12:32:46Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:32:46Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:16 Minutes
",Atrium,16,2020-03-12T12:32:46Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:25 Minutes
",Atrium,25,2020-03-12T12:32:46Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:32:46Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:36 Minutes
",Atrium,36,2020-03-12T12:32:46Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:31 Minutes
",Atrium,31,2020-03-12T12:32:46Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:51 Minutes
",Atrium,51,2020-03-12T12:32:46Z,Atrium Health Pineville
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:32:46Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:32:46Z,Atrium Health Stanly
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T12:32:46Z,Atrium Health Steele Creek
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:32:46Z,Atrium Health Union
"
                                            Estimated Wait Time:35 Minutes
",Atrium,35,2020-03-12T12:32:46Z,Atrium Health University City
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:32:46Z,Atrium Health Waxhaw
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:32:46Z,Carolinas HealthCare System Blue Ridge-Morganton
"
                                            Estimated Wait Time: less than 15 minutes
",Atrium,15,2020-03-12T12:32:46Z,Carolinas HealthCare System Blue Ridge-Valdese
"
                                            Estimated Wait Time:26 Minutes
",Atrium,26,2020-03-12T12:32:46Z,Carolinas Medical Center
"
                                            Estimated Wait Time:21 Minutes
",Atrium,21,2020-03-12T12:32:46Z,Levine Children's Hospital
18,Mary Washington,18,2020-03-12T12:32:45Z,Lee's Hill Emergency
15,Mary Washington,15,2020-03-12T12:32:45Z,Mary Washington Hospital
32,Mary Washington,32,2020-03-12T12:32:45Z,Stafford Hospital
"
                                            Estimated Wait Time:24 Minutes
",Atrium,24,2020-03-12T12:56:27Z,Atrium Health Anson
"
                                            Estimated Wait Time:43 Minutes
",Atrium,43,2020-03-12T12:56:27Z,Atrium Health Cabarrus
"
                                            Estimated Wait Time:17 Minutes
",Atrium,17,2020-03-12T12:56:27Z,Atrium Health Cleveland
"
                                            Estimated Wait Time:27 Minutes
",Atrium,27,2020-03-12T12:56:27Z,"Atrium Health Harrisburg Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:18 Minutes
",Atrium,18,2020-03-12T12:56:27Z,Atrium Health Huntersville
"
                                            Estimated Wait Time:20 Minutes
",Atrium,20,2020-03-12T12:56:27Z,"Atrium Health Kannapolis Emergency Department, a facility of Atrium Health Cabarrus"
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:56:27Z,"Atrium Health Kings Mountain, a facility of Atrium Health Cleveland"
"
                                            Estimated Wait Time:24 Minutes
",Atrium,24,2020-03-12T12:56:27Z,Atrium Health Lincoln
"
                                            Estimated Wait Time:23 Minutes
",Atrium,23,2020-03-12T12:56:27Z,"Atrium Health Mercy, a facility of Carolinas Medical Center"
"
                                            Estimated Wait Time:45 Minutes
",Atrium,45,2020-03-12T12:56:27Z,Atrium Health Pineville
"
                                            Estimated Wait Time:19 Minutes
",Atrium,19,2020-03-12T12:56:27Z,"Atrium Health SouthPark Emergency Department, a facility of Carolinas Medical Center"
